trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.8705505632961241}",20,3,-162.84544365913675,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 3}",1
2,False,"{'a': 0.4, 'e': 0.7578582832551991}",20,0,-137.63423070292959,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.6597539553864471}",20,0,-40.4599210968044,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.4, 'e': 0.5743491774985175}",20,0,-73.12059160198721,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.5}",20,0,-28.971029115063164,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.4, 'e': 0.43527528164806206}",20,0,-35.08335561938398,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.4, 'e': 0.3789291416275995}",30,0,-7.843265733294539,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.4, 'e': 0.32987697769322355}",25,3,13.66520287379931,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.4, 'e': 0.2871745887492588}",25,0,-13.496308185452857,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.25}",20,3,-18.332385220037466,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.4, 'e': 0.21763764082403103}",30,0,-1.8678520887413557,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.1894645708137997}",20,5,4.841048811897985,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.4, 'e': 0.16493848884661177}",20,14,11.325760637839043,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0.14358729437462933}",20,0,29.377907536584942,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.125}",20,16,6.422049623006602,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.4, 'e': 0.10881882041201552}",30,17,-17.675359062826892,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.4, 'e': 0.09473228540689985}",30,0,-5.881857091930456,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.08246924442330589}",30,18,20.723732472428168,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0.07179364718731467}",20,0,31.785098482919242,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.4, 'e': 0.0625}",30,24,6.314415933495197,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.4, 'e': 0.05440941020600776}",30,0,14.414021929708666,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
22,False,"{'a': 0.4, 'e': 0.04736614270344992}",25,0,6.479355208243859,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,18,13.988889402983709,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,16,9.300222907572696,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,16.569608297465034,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,11,34.5842479305858,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,2,32.69296828994745,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,17,12.445752706867433,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,24,11.415382575316901,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,18.933039191287527,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,6.832794826515656,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,7,31.949069903211637,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
