trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.08031610684,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.06386005892213,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.13421313935033,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.5095920108439,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.801560183131983,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.65031649583375,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.45952795700798,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.06695200074597,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.35931332230756,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.0377555826151,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,9,-62.30675242268454,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,8,-26.12860064356281,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.61651922414777,"{0: 15, 1: 4, 2: 7, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.1589761850337,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,4,-47.5105967531745,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.94629193228761,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,2,-60.2842417022685,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.1734995070628,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.45267061005575,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.6700649072587,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.67320278639903,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.52696310136564,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-167.36046371950977,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.92242601185977,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-100.69883429845353,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.62593025091482,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-225.59580022189468,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.54096950242898,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.02093141690205,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.31343955742625,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
